experiment_type,num_trials,exact_match_count,exact_match_rate,triple_precision_mean,triple_precision_median,triple_precision_stdev,triple_precision_min,triple_precision_max,triple_recall_mean,triple_recall_median,triple_recall_stdev,triple_recall_min,triple_recall_max,triple_f1_mean,triple_f1_median,triple_f1_stdev,triple_f1_min,triple_f1_max
agent,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,3,0,0.0,0.9770114942528736,0.9655172413793104,0.019908629972056037,0.9655172413793104,1.0,0.656711915535445,0.8235294117647058,0.2889363790605095,0.3230769230769231,0.8235294117647058,0.7553832902670112,0.888888888888889,0.23123847990798965,0.48837209302325585,0.888888888888889
sparql,3,0,0.0,0.9809523809523809,0.9714285714285714,0.016495721976846456,0.9714285714285714,1.0,0.7743589743589744,1.0,0.3908217206822082,0.3230769230769231,1.0,0.819795528592293,0.9855072463768115,0.28702111461230123,0.48837209302325585,0.9855072463768115
